titulo,similar,similaridade
"Hello, Goodbye",Norwegian Wood (This Bird Has Flown),0.7868876457214355
Here Comes The Sun,The Long And Winding Road,0.6553419232368469
Hey Jude,Let It Be,0.4638533890247345
I Am The Walrus,I'm A Loser,0.655609130859375
Lady Madonna,While My Guitar Gently Weeps,0.7055764198303223
Let It Be,You Know My Name( Up The Number),0.6379669904708862
Lucy In The Sky With Diamonds,Two Of Us,0.7181472778320312
Magical Mystery Tour,I'll Cry Instead,0.6623004674911499
"Ob-La-Di, Ob-La-Da","Ob-la-di, Ob-la-da",0.7919720411300659
Octopus's Garden,I'm Loser,0.8484369516372681
Old Brown Shoe,She's A Woman,0.6306772828102112
Penny Lane,Being For The Benefit Of Mr. Kite,0.7163535356521606
Revolution,Revolution 1,0.8646188974380493
Sgt. Pepper's Lonely Hearts Club Band,You Know My Name( Up The Number),0.7629416584968567
Something,Martha My Dear,0.8961731791496277
Strawberry Fields Forever,Don't Let Me Down,0.8144447803497314
The Ballad Of John And Yoko,Birthday,0.8526765704154968
The Fool On The Hill,Bad Boy,0.8012341856956482
The Long And Winding Road,Martha My Dear,0.7353239059448242
While My Guitar Gently Weeps,Something,0.7736837267875671
Back In The U.S.S.R.,Back In The USSR,0.8050071001052856
Birthday,The Ballad Of John And Yoko,0.8526765704154968
Blackbird,Something,0.7438229918479919
Cry Baby Cry,When I'm Sixty Four,0.7181953191757202
Dear Prudence,Everybody's Trying To Be My Baby,0.61074298620224
Don't Pass Me By,With A Little Help From My Friends,0.617684543132782
Everybody's Got Something To Hide Exept For Me And,Not A Second Time,0.7724077701568604
Glass Onion,Something,0.6889213919639587
Good Night,Day Tripper,0.6963382959365845
Happiness Is A Warm Gun,Martha My Dear,0.7202025651931763
Helter Skelter,Money,0.6932507753372192
I Will,You Never Give Me Your Money,0.7002897262573242
I'm So Tired,You're Going To Lose That Girl,0.7411061525344849
Julia,Birthday,0.7121535539627075
"Long,long,long",Back In The U.S.S.R.,0.607715368270874
Martha My Dear,All You Need Is Love,0.8962873816490173
Mother Natures Sun,Mother Nature's Son,0.6393468976020813
"Ob-la-di, Ob-la-da","Ob-La-Di, Ob-La-Da",0.7919720411300659
Piggies,I'll Cry Instead,0.6280974745750427
Revolution 1,Revolution,0.8646187782287598
Revolution 9,March Of The Meanies,0.7923520803451538
Rocky Racoon,Dr. Robert,0.6962860226631165
Savoy Truffle,Something,0.7219910025596619
Sexy Sadie,I've Just Seen A Face,0.669302225112915
The Continuing Story Of Bungalow Bill,Bad Boy,0.8792051672935486
While My Guitar Gently Weeps,Something,0.7736837267875671
Why Don't We Do It In The Road,Love Me Do,0.6948302388191223
Wild Honey Pie,Something,0.8448418378829956
Yer Blues,Yesterday,0.871333658695221
All I've Got To Do,Something,0.7763681411743164
All My Loving,Thank You Girl,0.6373482942581177
Devil In Her Heart,Revolution 9,0.7895557284355164
Don't Bother Me,I've Just Seen A Face,0.39754951000213623
Hold Me Tight,Martha My Dear,0.6462170481681824
I Wanna Be Your Man,"She Said, She Said",0.6323493123054504
It Won't Be Long,You Won't See Me,0.6877601742744446
Little Child,Mean Mr. Mustard,0.6783972382545471
Money,Birthday,0.7456125020980835
Not A Second Time,All You Need Is Love,0.8826286792755127
Please Mr. Postman,With A Little Help From My Friends,0.7177550792694092
Roll Over Beethoven,Martha My Dear,0.831747829914093
Till There Was You,"Here, There And Everywhere",0.6909546852111816
You Really Gotta Hold On Me,You Really Got A Hold On Me,0.721036970615387
All Together Now,All You Need Is Love,0.77546626329422
All You Need Is Love,Martha My Dear,0.8962874412536621
Hey Buldog,Hey Bulldog,0.8468343019485474
It's All Too Much,Lucy In The Sky With Diamonds,0.5939773917198181
March Of The Meanies,Pepperland,0.7984461784362793
Only A Northern Song,I Am The Walrus,0.5295178890228271
Pepperland,March Of The Meanies,0.7984461784362793
Pepperland Laid Waste,When I'm Sixty-Four,0.7555557489395142
Sea Of Holes,I'm Loser,0.715015172958374
Sea Of Monsters,Sea Of Time,0.7513413429260254
Sea Of Time,Sea Of Monsters,0.7513414621353149
Yellow Submarine,Something,0.8345577716827393
Yellow Submarine In Pepperland,Taxman,0.7074064612388611
Back In The USSR,Something,0.8074905276298523
Doctor Robert,Dr. Robert,0.7734106779098511
Good Morning Good Morning,Roll Over Beethoven,0.8009706139564514
Got To Get You Into My Life,Got To Get It Into My Life,0.7424548864364624
Hello Goodbye,Yer Blues,0.6824489235877991
Her Majesty,Getting Better,0.6430568099021912
Hey Bulldog,Hey Buldog,0.8468343615531921
I'm A Loser,I'm Loser,0.8457357287406921
Kansas City Hey Hey Hey,Kansas City,0.6954102516174316
Lovely Rita,Hey Buldog,0.6926341652870178
Maggie Mae,Maggie May,0.7957639098167419
Mother Nature's Son,All You Need Is Love,0.7435607314109802
Please Mister Postman,Please Mr. Postman,0.6238433122634888
Sgt. Pepper's Lonely Heart's Club Band (Reprise),Being For The Benefit Of Mr. Kite,0.6444909572601318
When I'm Sixty-Four,Octopus's Garden,0.8301238417625427
You Really Got A Hold On Me,You Really Gotta Hold On Me,0.7210370302200317
You're Gonna Lose That Girl,All You Need Is Love,0.8627655506134033
